City,Year,City Temp.,Global Temp.
Athens,1965,17.34,8.53
Athens,1966,18.37,8.60
Athens,1967,17.49,8.70
Athens,1968,17.70,8.52
Athens,1969,17.59,8.60
Athens,1970,17.80,8.70
Athens,1971,17.27,8.60
Athens,1972,17.28,8.50
Athens,1973,17.41,8.95
Athens,1974,17.34,8.47
Athens,1975,17.41,8.74
Athens,1976,16.79,8.35
Athens,1977,17.80,8.85
Athens,1978,17.40,8.69
Athens,1979,17.80,8.73
Athens,1980,17.34,8.98
Athens,1981,17.69,9.17
Athens,1982,17.11,8.64
Athens,1983,17.09,9.03
Athens,1984,17.53,8.69
Athens,1985,17.82,8.66
Athens,1986,17.82,8.83
Athens,1987,17.32,8.99
Athens,1988,17.66,9.20
Athens,1989,17.48,8.92
Athens,1990,18.05,9.23
Athens,1991,17.07,9.18
Athens,1992,17.13,8.84
Athens,1993,17.53,8.87
Athens,1994,18.47,9.04
Athens,1995,17.82,9.35
Athens,1996,17.46,9.04
Athens,1997,17.35,9.20
Athens,1998,18.15,9.52
Athens,1999,18.82,9.29
Athens,2000,18.20,9.20
Athens,2001,18.67,9.41
Athens,2002,18.33,9.57
Athens,2003,17.95,9.53
Athens,2004,18.07,9.32
Athens,2005,17.91,9.70
Athens,2006,17.78,9.53
Athens,2007,18.67,9.73
Athens,2008,18.61,9.43
Athens,2009,18.52,9.51
Athens,2010,19.30,9.70
Athens,2011,17.67,9.52
Athens,2012,18.82,9.51
Athens,2013,19.36,9.61
